h3_id,dimension,quantity
892f5a3625bffff,S_abastecimento,2
892f5a3625bffff,S_servicos,1
892f5a362c3ffff,S_lazer,1
892f5a362c7ffff,S_lazer,1
892f5a362c7ffff,S_servicos,1
892f5a362dbffff,T_transporte,1
892f5a36627ffff,S_servicos,1
892f5a366cfffff,U_urbanidade,1
892f5a37083ffff,S_educacao,1
892f5a37087ffff,S_lazer,3
892f5a37087ffff,S_servicos,4
892f5a37097ffff,S_educacao,5
892f5a37097ffff,S_lazer,4
892f5a37183ffff,S_saude,1
892f5a3718fffff,S_educacao,8
892f5a3718fffff,S_saude,8
892f5a37197ffff,S_saude,1
892f5a37407ffff,S_lazer,3
892f5a37407ffff,T_transporte,1
892f5a37437ffff,T_transporte,1
892f5a374afffff,S_lazer,1
892f5a374afffff,S_saude,1
892f5a374afffff,T_transporte,4
892f5a37503ffff,S_abastecimento,8
892f5a37503ffff,U_urbanidade,1
892f5a3750bffff,S_saude,1
892f5a37517ffff,S_abastecimento,4
892f5a37517ffff,U_urbanidade,5
892f5a37557ffff,S_saude,3
892f5a37557ffff,U_urbanidade,5
892f5a375cbffff,T_transporte,2
892f5a375cfffff,U_urbanidade,5
892f5a375d3ffff,T_transporte,1
892f5a375dbffff,T_transporte,1
892f5aadb7bffff,T_transporte,1
892f5aadba3ffff,S_servicos,1
892f5aadbabffff,S_servicos,1
892f5aadbafffff,S_abastecimento,2
892f5aadbafffff,S_servicos,4
