h3_id,dimension,quantity
89a8100c0b7ffff,U_urbanidade,1
89a8100c117ffff,U_urbanidade,1
89a8100c18fffff,S_educacao,1
89a8100c197ffff,U_urbanidade,1
89a8100c1d3ffff,U_urbanidade,3
89a8100c1d7ffff,U_urbanidade,1
89a8100c427ffff,U_urbanidade,1
89a8100c4b7ffff,S_educacao,1
89a8100c503ffff,U_urbanidade,2
89a8100c50bffff,U_urbanidade,1
89a8100c50fffff,U_urbanidade,1
89a8100c513ffff,U_urbanidade,1
89a8100c51bffff,S_educacao,1
89a8100c557ffff,U_urbanidade,1
89a8100c56fffff,U_urbanidade,1
89a8100c573ffff,S_educacao,1
89a8100c573ffff,U_urbanidade,2
89a8100c57bffff,U_urbanidade,1
89a8100c587ffff,U_urbanidade,3
89a8100c58fffff,U_urbanidade,1
89a8100c597ffff,U_urbanidade,2
89a8100c5a7ffff,S_educacao,1
89a8100c5a7ffff,U_urbanidade,3
89a8100c5abffff,S_educacao,1
89a8100c5abffff,U_urbanidade,1
89a8100c5b3ffff,S_educacao,3
89a8100c5b3ffff,U_urbanidade,1
89a8100c5bbffff,U_urbanidade,1
89a8100c5c3ffff,U_urbanidade,5
89a8100c5c7ffff,S_educacao,1
89a8100c5c7ffff,U_urbanidade,3
89a8100c5cbffff,S_educacao,1
89a8100c5cbffff,U_urbanidade,1
89a8100c5cfffff,U_urbanidade,1
89a8100c5dbffff,S_educacao,1
89a8100e32bffff,S_educacao,1
89a8100ea13ffff,U_urbanidade,1
89a8100ea1bffff,U_urbanidade,3
89a8100ea2bffff,S_educacao,1
89a8100ea43ffff,S_educacao,1
89a8100ea43ffff,U_urbanidade,3
89a8100ea4fffff,S_educacao,1
89a8100ea53ffff,U_urbanidade,2
89a8100ea63ffff,S_educacao,1
89a8100ea83ffff,U_urbanidade,1
89a8100eac3ffff,U_urbanidade,1
89a8100eacfffff,S_educacao,1
89a8100ead7ffff,U_urbanidade,1
89a8100ee0bffff,S_educacao,1
89a8100ee0bffff,U_urbanidade,1
89a8100ee1bffff,S_educacao,2
89a8100ee1bffff,U_urbanidade,2
89a8100ee43ffff,U_urbanidade,1
89a8100ee47ffff,U_urbanidade,1
89a8100ee4bffff,U_urbanidade,1
89a8100ee53ffff,S_educacao,2
89a8100ee53ffff,U_urbanidade,1
89a8100ee57ffff,S_educacao,2
89a8100ee5bffff,S_educacao,1
89a8100ee63ffff,S_educacao,1
89a8100ee63ffff,U_urbanidade,3
89a8100ee67ffff,U_urbanidade,1
89a8100ee6bffff,U_urbanidade,1
89a8100ee6fffff,S_educacao,1
89a8100ee6fffff,U_urbanidade,3
89a8100ee73ffff,U_urbanidade,1
89a8100ee7bffff,U_urbanidade,1
89a8100eec7ffff,U_urbanidade,1
89a8100eecfffff,U_urbanidade,2
