h3_id,dimension,quantity
89a8100c0a3ffff,T_transporte,1
89a8100c0a7ffff,S_lazer,1
89a8100c0a7ffff,S_servicos,2
89a8100c0a7ffff,T_transporte,3
89a8100c0b3ffff,T_transporte,1
89a8100c0b3ffff,U_urbanidade,1
89a8100c1a3ffff,S_abastecimento,2
89a8100c1a3ffff,S_saude,2
89a8100c1a3ffff,T_transporte,2
89a8100c1d3ffff,T_transporte,1
89a8100c4a3ffff,S_abastecimento,5
89a8100c4a3ffff,S_educacao,2
89a8100c4a3ffff,S_lazer,5
89a8100c4a3ffff,S_saude,4
89a8100c4a3ffff,S_servicos,5
89a8100c4a3ffff,T_transporte,7
89a8100c4a3ffff,U_urbanidade,2
89a8100c4b7ffff,S_saude,3
89a8100c51bffff,U_urbanidade,1
89a8100c52bffff,S_abastecimento,1
89a8100c56fffff,S_servicos,1
89a8100c58fffff,U_urbanidade,1
89a8100c5a3ffff,S_saude,1
89a8100c5a7ffff,U_urbanidade,1
89a8100c5abffff,U_urbanidade,1
89a8100e323ffff,U_urbanidade,1
89a8100e32fffff,U_urbanidade,1
89a8100e36bffff,S_abastecimento,1
89a8100ea07ffff,S_lazer,2
89a8100ea07ffff,U_urbanidade,1
89a8100ea0fffff,S_abastecimento,2
89a8100ea13ffff,S_educacao,3
89a8100ea13ffff,S_servicos,3
89a8100ea4bffff,T_transporte,1
89a8100ea4bffff,U_urbanidade,3
89a8100ea53ffff,U_urbanidade,1
89a8100ea7bffff,S_educacao,1
89a8100ea7bffff,S_lazer,3
89a8100ea7bffff,S_servicos,1
89a8100ea7bffff,T_transporte,3
89a8100eac3ffff,S_educacao,2
89a8100eacfffff,S_educacao,3
89a8100eacfffff,S_saude,3
89a8100eacfffff,U_urbanidade,1
89a8100ee03ffff,S_abastecimento,1
89a8100ee0fffff,S_abastecimento,1
89a8100ee13ffff,S_abastecimento,3
89a8100ee13ffff,S_lazer,1
89a8100ee13ffff,S_servicos,1
89a8100ee13ffff,U_urbanidade,1
