h3_id,dimension,quantity
89a8100c023ffff,S_educacao,1
89a8100c0a3ffff,U_urbanidade,1
89a8100c0a7ffff,U_urbanidade,2
89a8100c0afffff,U_urbanidade,1
89a8100c0b3ffff,U_urbanidade,2
89a8100c197ffff,U_urbanidade,1
89a8100c1c3ffff,U_urbanidade,1
89a8100c1cbffff,U_urbanidade,1
89a8100c1d3ffff,U_urbanidade,1
89a8100c1d7ffff,S_educacao,1
89a8100c1d7ffff,U_urbanidade,2
89a8100c4a3ffff,S_educacao,1
89a8100c503ffff,U_urbanidade,1
89a8100c50bffff,U_urbanidade,1
89a8100c513ffff,S_educacao,3
89a8100c513ffff,U_urbanidade,1
89a8100c52fffff,U_urbanidade,1
89a8100c557ffff,U_urbanidade,3
89a8100c563ffff,U_urbanidade,1
89a8100c56fffff,U_urbanidade,1
89a8100c573ffff,U_urbanidade,2
89a8100c583ffff,S_educacao,1
89a8100c587ffff,S_educacao,2
89a8100c58bffff,U_urbanidade,2
89a8100c593ffff,U_urbanidade,1
89a8100c597ffff,U_urbanidade,2
89a8100c59bffff,S_educacao,1
89a8100c59bffff,U_urbanidade,3
89a8100c5a3ffff,S_educacao,2
89a8100c5a7ffff,S_educacao,1
89a8100c5a7ffff,U_urbanidade,2
89a8100c5afffff,U_urbanidade,1
89a8100c5b3ffff,S_educacao,1
89a8100c5b3ffff,U_urbanidade,2
89a8100c5b7ffff,S_educacao,2
89a8100c5bbffff,S_educacao,2
89a8100c5c3ffff,U_urbanidade,1
89a8100c5c7ffff,S_educacao,1
89a8100c5c7ffff,U_urbanidade,1
89a8100c5cbffff,S_educacao,2
89a8100c5d7ffff,S_educacao,1
89a8100c5dbffff,S_educacao,1
89a8100e363ffff,U_urbanidade,1
89a8100ea0fffff,S_educacao,1
89a8100ea13ffff,U_urbanidade,1
89a8100ea1bffff,U_urbanidade,1
89a8100ea43ffff,U_urbanidade,1
89a8100ea4bffff,S_educacao,1
89a8100ea5bffff,U_urbanidade,1
89a8100eac7ffff,U_urbanidade,1
89a8100ead3ffff,U_urbanidade,1
89a8100ead7ffff,U_urbanidade,1
89a8100ee0bffff,U_urbanidade,1
89a8100ee0fffff,S_educacao,1
89a8100ee1bffff,S_educacao,1
89a8100ee43ffff,U_urbanidade,4
89a8100ee4bffff,S_educacao,1
89a8100ee4bffff,U_urbanidade,1
89a8100ee4fffff,S_educacao,1
89a8100ee4fffff,U_urbanidade,1
89a8100ee53ffff,S_educacao,1
89a8100ee57ffff,S_educacao,1
89a8100ee57ffff,U_urbanidade,1
89a8100ee5bffff,S_educacao,1
89a8100ee63ffff,S_educacao,1
89a8100ee73ffff,S_educacao,1
89a8100ee77ffff,S_educacao,1
89a8100ee77ffff,U_urbanidade,3
89a8100ee7bffff,U_urbanidade,1
89a8100eec7ffff,S_educacao,1
89a8100eec7ffff,U_urbanidade,2
89a8100eecfffff,S_educacao,3
89a8100eecfffff,U_urbanidade,1
